n,Time (seconds)
512,0.0003724098205566406
1024,0.0
2048,0.002088308334350586
4096,0.001994609832763672
8192,0.003991603851318359
16384,0.009664535522460938
32768,0.020818710327148438
65536,0.04220414161682129
131072,0.09890222549438477
262144,0.24110627174377441
524288,0.5160224437713623
1048576,0.9290461540222168
2097152,2.135305643081665
4194304,3.9531195163726807
8388608,8.253015518188477
16777216,19.78596520423889
33554432,33.26049613952637
67108864,68.51601672172546
134217728,177.28498768806458
